Chiapas                                           ,Chicomuselo                                       ,9413
Chiapas                                           ,Chilon                                            ,22244
Chiapas                                           ,Escuintla                                         ,9161
Chiapas                                           ,Francisco Leon                                    ,1254
Chiapas                                           ,Frontera Comalapa                                 ,23928
Chiapas                                           ,Frontera Hidalgo                                  ,4375
Chiapas                                           ,La Grandeza                                       ,1638
Chiapas                                           ,Huehuetan                                         ,10267
Chiapas                                           ,Huixtan                                           ,4629
Chiapas                                           ,Huitiupan                                         ,4363
Chiapas                                           ,Huixtla                                           ,17461
Chiapas                                           ,La Independencia                                  ,10224
Chiapas                                           ,Ixhuatan                                          ,2740
Chiapas                                           ,Ixtacomitan                                       ,2422
Chiapas                                           ,Ixtapa                                            ,5460
Chiapas                                           ,Ixtapangajoya                                     ,1191
Chiapas                                           ,Jiquipilas                                        ,12941
Chiapas                                           ,Jitotol                                           ,3105
Chiapas                                           ,Juarez                                            ,6684
Chiapas                                           ,Larrainzar                                        ,4818
Chiapas                                           ,La Libertad                                       ,2221
Chiapas                                           ,Mapastepec                                        ,15782
Chiapas                                           ,Las Margaritas                                    ,25246
Chiapas                                           ,Mazapa de Madero                                  ,1450
Chiapas                                           ,Mazatan                                           ,8956
Chiapas                                           ,Metapa                                            ,1779
Chiapas                                           ,Mitontic                                          ,2251
Chiapas                                           ,Motozintla                                        ,18878
Chiapas                                           ,Nicolas Ruiz                                      ,1009
Chiapas                                           ,Ocosingo                                          ,43257
Chiapas                                           ,Ocotepec                                          ,1974
Chiapas                                           ,Ocozocoautla de Espinosa                          ,26502
Chiapas                                           ,Ostuacan                                          ,4449
Chiapas                                           ,Osumacinta                                        ,1110
Chiapas                                           ,Oxchuc                                            ,11561
Chiapas                                           ,Palenque                                          ,39675
Chiapas                                           ,Pantelho                                          ,4324
Chiapas                                           ,Pantepec                                          ,2360
Chiapas                                           ,Pichucalco                                        ,9816
Chiapas                                           ,Pijijiapan                                        ,17480
Chiapas                                           ,El Porvenir                                       ,3216
Chiapas                                           ,Villa Comaltitlan                                 ,8145
Chiapas                                           ,Pueblo Nuevo Solistahuacan                        ,5829
Chiapas                                           ,Rayon                                             ,2025
Chiapas                                           ,Reforma                                           ,14419
Chiapas                                           ,Las Rosas                                         ,7952
Chiapas                                           ,Sabanilla                                         ,5074
Chiapas                                           ,Salto de Agua                                     ,12979
Chiapas                                           ,San Cristobal de las Casas                        ,68819
Chiapas                                           ,San Fernando                                      ,11366
Chiapas                                           ,Siltepec                                          ,9196
Chiapas                                           ,Simojovel                                         ,8387
Chiapas                                           ,Sitala                                            ,2272
Chiapas                                           ,Socoltenango                                      ,5815
Chiapas                                           ,Solosuchiapa                                      ,2138
Chiapas                                           ,Soyalo                                            ,2657
Chiapas                                           ,Suchiapa                                          ,6648
Chiapas                                           ,Suchiate                                          ,12559
Chiapas                                           ,Sunuapa                                           ,582
Chiapas                                           ,Tapachula                                         ,122349
